Date,kurs
1/1/2020,13894.5772
1/2/2020,13889.483
1/3/2020,13939.6454
1/4/2020,13939.6454
1/5/2020,13931.5051
1/6/2020,13894.2833
1/7/2020,13869.6995
1/8/2020,13903.603
1/9/2020,13832.0718
1/10/2020,13757.2331
1/11/2020,13756.7013
1/12/2020,13733.0435
1/13/2020,13668.5243
1/14/2020,13673.0769
1/15/2020,13670.0228
1/16/2020,13622.4235
1/17/2020,13647.4704
1/18/2020,13647.4704
1/19/2020,13662.2541
1/20/2020,13620.9673
1/21/2020,13660.5427
1/22/2020,13631.2302
1/23/2020,13613.1351
1/24/2020,13609.7076
1/25/2020,13609.7076
1/26/2020,13713.029
1/27/2020,13218.3772
1/28/2020,13609.7636
1/29/2020,13616.2097
1/30/2020,13648.6865
1/31/2020,13771.78
2/1/2020,13771.78
2/2/2020,13643.4347
2/3/2020,13740.7748
2/4/2020,13706.4185
2/5/2020,13673.1238
2/6/2020,13642.9267
2/7/2020,13681.7118
2/8/2020,13681.7118
2/9/2020,13676.067
2/10/2020,13704.1367
2/11/2020,13661.4517
2/12/2020,13712.3903
2/13/2020,13680.8748
2/14/2020,13693.8502
2/15/2020,13693.8502
2/16/2020,13672.9943
2/17/2020,13654.1797
2/18/2020,13659.05
2/19/2020,13667.0148
2/20/2020,13708.0485
2/21/2020,13775.2599
2/22/2020,13775.2599
2/23/2020,13786.0337
2/24/2020,13885.6923
2/25/2020,13861.5833
2/26/2020,13940.4995
2/27/2020,14012.8489
2/28/2020,13975.9032
2/29/2020,13975.95
3/1/2020,13946.6893
3/2/2020,14232.1207
3/3/2020,14204.525
3/4/2020,14158.6864
3/5/2020,14484.8722
3/6/2020,14253.2162
3/7/2020,14255.2607
3/8/2020,14127.0175
3/9/2020,14112.3788
3/10/2020,14463.772
3/11/2020,14439.0778
3/12/2020,14862.8091
3/13/2020,14642.5164
3/14/2020,14642.5883
3/15/2020,14595.213
3/16/2020,14878.0519
3/17/2020,15162.6112
3/18/2020,15614.3891
3/19/2020,15920.6786
3/20/2020,15799.7193
3/21/2020,15770.8943
3/22/2020,15900.8754
3/23/2020,16974.822
3/24/2020,16420.0952
3/25/2020,16425.0254
3/26/2020,16223.6059
3/27/2020,16019.954
3/28/2020,16019.9721
3/29/2020,15979.6438
3/30/2020,16043.5649
3/31/2020,16037.3126
4/1/2020,16028.3871
4/2/2020,16436.9924
4/3/2020,16644.3049
4/4/2020,16385.9368
4/5/2020,16377.2048
4/6/2020,16390.468
4/7/2020,16146.7101
4/8/2020,16206.5394
4/9/2020,15978.4932
4/10/2020,15802.0073
4/11/2020,15802.0088
4/12/2020,15796.984
4/13/2020,15731.3411
4/14/2020,15587.2698
4/15/2020,15571.1407
4/16/2020,15592.1363
4/17/2020,15445.7061
4/18/2020,15443.9896
4/19/2020,15390.2751
4/20/2020,15381.5977
4/21/2020,15402.3553
4/22/2020,15402.381
4/23/2020,15401.5084
4/24/2020,15587.9063
4/25/2020,15563.1063
4/26/2020,15361.356
4/27/2020,15312.9868
4/28/2020,15376.5364
4/29/2020,15246.9373
4/30/2020,15145.8469
5/1/2020,14683.5681
5/2/2020,14680.8663
5/3/2020,14867.5865
5/4/2020,15048.5972
5/5/2020,15028.2853
5/6/2020,15019.3945
5/7/2020,14960.0138
5/8/2020,14766.8774
5/9/2020,14786.5273
5/10/2020,14953.1771
5/11/2020,14894.9955
5/12/2020,14898.6846
5/13/2020,14863.0458
5/14/2020,14820.2318
5/15/2020,14878.0248
5/16/2020,14878.0248
5/17/2020,14825.0264
5/18/2020,14689.693
5/19/2020,14766.1651
5/20/2020,14696.9119
5/21/2020,14704.0166
5/22/2020,14806.4193
5/23/2020,14806.4193
5/24/2020,14666.0014
5/25/2020,14718.3643
5/26/2020,14739.33
5/27/2020,14653.624
5/28/2020,14727.1538
5/29/2020,14655.0434
5/30/2020,14655.0434
5/31/2020,14640.2716
6/1/2020,14590.6123
6/2/2020,14380.3474
6/3/2020,14065.4933
6/4/2020,14112.419
6/5/2020,14010.9541
6/6/2020,14011.2541
6/7/2020,14287.1638
6/8/2020,13859.3164
6/9/2020,13865.4163
6/10/2020,13976.5042
6/11/2020,13971.1275
6/12/2020,14216.4852
6/13/2020,14216.4852
6/14/2020,14136.903
6/15/2020,14012.7204
6/16/2020,14047.5703
6/17/2020,14114.6182
6/18/2020,14088.469
6/19/2020,14242.8271
6/20/2020,14242.8271
6/21/2020,14068.8428
6/22/2020,14124.6001
6/23/2020,14148.0149
6/24/2020,14150.8118
6/25/2020,14121.3
6/26/2020,14350.8736
6/27/2020,14350.8736
6/28/2020,14182.5513
6/29/2020,14176.153
6/30/2020,14295.3138
7/1/2020,14255.3284
7/2/2020,14372.6578
7/3/2020,14532.4331
7/4/2020,14532.4512
7/5/2020,14498.3926
7/6/2020,14288.3204
7/7/2020,14447.2336
7/8/2020,14377.2776
7/9/2020,14338.9208
7/10/2020,14397.6633
7/11/2020,14367.7369
7/12/2020,14408.9141
7/13/2020,14393.9769
7/14/2020,14405.7689
7/15/2020,14592.3941
7/16/2020,14561.3589
7/17/2020,14796.6266
7/18/2020,14796.6266
7/19/2020,14675.9679
7/20/2020,14771.0784
7/21/2020,14679.5838
7/22/2020,14631.4357
7/23/2020,14599.7897
7/24/2020,14602.1819
7/25/2020,14602.1819
7/26/2020,14574.2502
7/27/2020,14490.2124
7/28/2020,14574.8595
7/29/2020,14504.8669
7/30/2020,14543.8872
7/31/2020,14700.3357
8/1/2020,14700.4512
8/2/2020,14616.3777
8/3/2020,14578.5194
8/4/2020,14533.1862
8/5/2020,14505.2401
8/6/2020,14569.9821
8/7/2020,14713.6434
8/8/2020,14713.6377
8/9/2020,14680.5518
8/10/2020,14635.1983
8/11/2020,14677.9823
8/12/2020,14744.411
8/13/2020,14727.4227
8/14/2020,14916.9483
